id,hiragana,hinmoku,kubun,kubun2,note
54,あせとりまっと（ふとん、べっどのうえにしくもの）,汗取りマット（布団、ベッドの上に敷くもの）,燃やせるゴミ,可燃,
55,あたっしゅけーす,アタッシュケース,燃やせないごみ,不燃,
56,あつがみ,厚紙,燃やせるゴミ,可燃,
57,あっしゅくふくろ,圧縮袋,その他プラスチック,他プラ,
58,あつりょくなべ,圧力鍋,金属,金属,
59,あとまいざー（きんぞくせい）,アトマイザー（金属製）,金属,金属,
60,あとまいざー（がらすせい）,アトマイザー（ガラス製）,燃やせないごみ,不燃,
61,あとまいざー（ぷらすちっくせい）,アトマイザー（プラスチック製）,その他プラスチック,他プラ,
62,あとまいざーのきゃっぷ,アトマイザーのキャップ,その他プラスチック,他プラ,
63,あとまいざーののずる,アトマイザーのノズル,その他プラスチック,他プラ,
64,あなあけぱんち（きんぞくせい）,穴あけパンチ（金属製）,金属,金属,
65,あなあけぱんち（ぷらすちっくせい）,穴あけパンチ（プラスチック製）,その他プラスチック,他プラ,
66,あぶら・おいる（しょくようあぶら・はいしょくあぶら）,油・オイル（食用油・廃食油）,燃やせるゴミ,可燃,凝固剤で固めるか雑紙等に染みこませる。
67,あぶら・おいる（えんじんおいる）,油・オイル（エンジンオイル）,処理困難物,処理困難物,少量であれば雑紙等に染み込ませて「可燃」。
68,あぶら・おいるのようき（ぷらすちっくせい）,油・オイルの容器（プラスチック製）,容器包装プラスチック,容プラ,中身は取り除く。汚れが取れない物は「可燃」。
69,あぶらこしし,油こし紙,燃やせるゴミ,可燃,
70,あぶらこしようき(とうきせい),油こし容器(陶器製),燃やせないごみ,不燃,
71,あぶらこしようき(ぷらすちっくせい),油こし容器(プラスチック製),その他プラスチック,他プラ,
72,あぶらさし,油差し,その他プラスチック,他プラ,
73,あぶらねんど,油粘土,燃やせないごみ,不燃,
74,あぶらひき,油ひき,燃やせるゴミ,可燃,持ち手が金属製であれば「金属」。
75,あまがっぱ,雨合羽,その他プラスチック,他プラ,
76,あまどい（とゆ）（ぷらすちっくせい）,雨どい（とゆ）（プラスチック製）,その他プラスチック,他プラ,
77,あまど,雨戸,金属,金属,
78,あみ（きんぞくせい）,網（金属製）,金属,金属,
79,あみ（ぷらすちっくせい）,網（プラスチック製）,その他プラスチック,他プラ,
80,あみき,編み機,金属,金属,
81,あみと(ぷらすちっくせい),網戸(プラスチック製),その他プラスチック,他プラ,
82,あみと(きんぞくせい),網戸(金属製),金属,金属,
83,あみと(もくせい),網戸(木製),燃やせるゴミ,可燃,
84,あみばり（もくせい）,編み針（木製）,燃やせるゴミ,可燃,
85,あみばり（ぷらすちっくせい）,編み針（プラスチック製）,その他プラスチック,他プラ,
86,あみぼう（たけせい・もくせい）,編み棒（竹製・木製）,燃やせるゴミ,可燃,
87,あみぼう（きんぞくせい）,編み棒（金属製）,金属,金属,
88,あめのささげ（ぷらすちっくせい）,飴の棒（プラスチック製）,その他プラスチック,他プラ,
89,あめのささげ（もくせい）,飴の棒（木製）,燃やせるゴミ,可燃,
90,あまよけ（ないろんせい）,雨よけ（ナイロン製）,燃やせるゴミ,可燃,
91,あめりかんれーき,アメリカンレーキ,金属,金属,
92,あるこーるけんちき,アルコール検知器,金属,金属,電池は取り除いて「危険ごみ」。
93,あるこーるらんぷ（ようきがきんぞくせい）,アルコールランプ（容器が金属製）,金属,金属,
94,あるこーるらんぷ（ようきががらすせい）,アルコールランプ（容器がガラス製）,燃やせないごみ,不燃,
95,あるばむ（かみせい・ぬのせい）,アルバム（紙製・布製）,燃やせるゴミ,可燃,
96,あるばむ（ぷらすちっくせい）,アルバム（プラスチック製）,その他プラスチック,他プラ,
97,あるみがすまっと,アルミガスマット,金属,金属,
98,あるみかん・あるみぼとる（いんりょう・しょくひんよう）,アルミ缶・アルミボトル（飲料・食品用）,金属,金属,
99,あるみさっし,アルミサッシ,金属,金属,
100,あるみだい,アルミ台,金属,金属,
101,あるみてーぷ,アルミテープ,燃やせるゴミ,可燃,
102,あるみはくなべ（なべやきうどんなど）,アルミ箔鍋（鍋焼きうどんなど）,金属,金属,
103,あるみはくようき（かっぷ）,アルミ箔容器（カップ）,燃やせるゴミ,可燃,
104,あるみばっく,アルミバック,金属,金属,
105,あるみふうせん,アルミ風船,燃やせるゴミ,可燃,
106,あるみほいーる（たいやをのぞく）,アルミホイール（タイヤを除く）,金属,金属,タイヤ付きは専門の処理業者へ依頼する。
107,あるみほいる（あるみはく）,アルミホイル（アルミ箔）,燃やせるゴミ,可燃,
108,あるみほいるのしん（かみせい）,アルミホイルの芯（紙製）,燃やせるゴミ,可燃,
109,あるみほいるのはこ（かみせい）,アルミホイルの箱（紙製）,雑誌・雑紙,雑誌・雑紙,カッター部分は「金属」。
110,あるみまっと,アルミマット,燃やせるゴミ,可燃,
111,あるみようき,アルミ容器,金属,金属,
112,あろまおいるのようき（がらすせい）,アロマオイルの容器（ガラス製）,燃やせないごみ,不燃,
113,あろまおいるのようき（ぷらすちっくせい）,アロマオイルの容器（プラスチック製）,その他プラスチック,他プラ,
114,あろまきゃんどるのびん,アロマキャンドルの瓶,燃やせないごみ,不燃,
115,あろまでぃふゅーざー,アロマディフューザー,金属,金属,電池は取り除いて「危険ごみ」。
116,あろまぽっと（とうじきせい）,アロマポット（陶磁器製）,燃やせないごみ,不燃,電池は取り除いて「危険ごみ」。
117,あろまらいと（とうじきせい）,アロマライト（陶磁器製）,燃やせないごみ,不燃,電池は取り除いて「危険ごみ」。
118,あろまらいと（がらすせい）,アロマライト（ガラス製）,燃やせないごみ,不燃,電池は取り除いて「危険ごみ」。
119,あわたてき（でんどう・きんぞくせい）,泡立て器（電動・金属製）,金属,金属,電池は取り除いて「危険ごみ」。
120,あわたてき（ぷらすちっくせい）,泡立て器（プラスチック製）,その他プラスチック,他プラ,
121,あわたてき（しりこんせい）,泡立て器（シリコン製）,燃やせるゴミ,可燃,
122,あわたてねっと,泡立てネット,その他プラスチック,他プラ,
123,あんか・そくおんき,あんか・足温器,金属,金属,
124,あんぜんぐつ,安全靴,金属,金属,
125,あんぜんちょっき,安全チョッキ,燃やせるゴミ,可燃,
126,あんぜんぴん,安全ピン,金属,金属,
127,あんじょううつわ（しょうめいよう）,安定器（照明用）,危険,危険,PCB（ポリ塩化ビフェニル）が含まれていないか確認する。含まれている場合は、環境政策課へ相談。
128,あんてな,アンテナ,金属,金属,
129,あんてなきだい,アンテナ基台,金属,金属,
130,あんぷ,アンプ,金属,金属,
131,あまりたくみ（いすがた、ねるおくがた）,あんま機（椅子型、寝置型）,金属,金属,
132,いーぜる（もくせい）,イーゼル（木製）,燃やせるゴミ,可燃,金具は出来る限り取り除く。
133,いーぜる（きんぞくせい）,イーゼル（金属製）,金属,金属,
134,いーてぃーしーしゃさいたくみ,ETC車載機,金属（エコ）,金属（エコ）,
135,いおんはっせいき,イオン発生器,金属,金属,電池は取り除いて「危険ごみ」。
136,いぐさうわしき,い草上敷き,燃やせるゴミ,可燃,
137,いくもうざい（すぷれーかん）,育毛剤（スプレー缶）,危険,危険,
138,いくもうざい（ぷらすちっくようき）,育毛剤（プラスチック容器）,容器包装プラスチック,容プラ,
139,いくもうざい（びん）,育毛剤（瓶）,燃やせないごみ,不燃,
140,いくはな,生花,燃やせるゴミ,可燃,
141,いし・すな・つち,石・砂・土,自己搬入,自己搬入,土のう2袋以内であればエコ・ステーション、3袋以上であれば津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック８ページ参照）。
142,いしうす,石臼,自己搬入,自己搬入,
143,いしざら,石皿,燃やせないごみ,不燃,
144,いしょうけーす（もくせい）,衣装ケース（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
145,いしょうけーす（ぷらすちっくせい）,衣装ケース（プラスチック製）,その他プラスチック,他プラ,
146,いしょうけーす（きんぞくせい）,衣装ケース（金属製）,金属,金属,
147,いしょくこて（こがたしゃべる）,移植ゴテ（小型シャベル）,金属,金属,
148,いしめん,石綿,自己搬入,自己搬入,袋を二重にして津市リサイクルセンターへ自己搬入。
149,いす（もくせい）,いす（木製）,燃やせるゴミ,可燃,金具は出来る限り取り除く。
150,いす（きんぞくぶひんがふくむれるている）,いす（金属部品が含まれている）,金属,金属,
151,いす（ぷらすちっくせい）,いす（プラスチック製）,その他プラスチック,他プラ,
152,いすあしかばー（しりこんせい・ぬのせい）,椅子脚カバー（シリコン製・布製）,燃やせるゴミ,可燃,
153,いすまっと,椅子マット,燃やせるゴミ,可燃,ビニール製であれば「その他プラスチック」。
154,いた（もくせい）,板（木製）,燃やせるゴミ,可燃,
155,いた（ぷらすちっくせい）,板（プラスチック製）,その他プラスチック,他プラ,
156,いためし,板目紙,雑誌・雑紙,雑誌・雑紙,
157,いちりんしゃ（ねこしゃ）,一輪車（ねこ車）,金属,金属,
158,いちりんしゃ（ゆうぐとう）,一輪車（遊具等）,金属,金属,
159,いっしょうびん,一升びん,びん,びん,
160,いっしょうびんのふた（きんぞくせい）,一升びんのふた（金属製）,金属,金属,
161,いっしょうびんのふた（ぷらすちっくせい）,一升びんのふた（プラスチック製）,容器包装プラスチック,容プラ,
162,いっとかん（しょうゆなど）,一斗缶（しょうゆなど）,金属,金属,
163,いっとかん（しょくようあぶらよう）,一斗缶（食用油用）,金属,金属,
164,いっぴぶくろ,イッピ袋,燃やせるゴミ,可燃,
165,いと,糸,燃やせるゴミ,可燃,
166,いとくずふぃるたー,糸くずフィルター,その他プラスチック,他プラ,
167,いととおし,糸通し,金属,金属,
168,いとまき（もくせい）,糸巻き（木製）,燃やせるゴミ,可燃,
169,いとまき（きんぞくせい）,糸巻き（金属製）,金属,金属,
170,いとまき（ぷらすちっくせい）,糸巻き（プラスチック製）,その他プラスチック,他プラ,
171,いどようぽんぷ,井戸用ポンプ,金属,金属,
172,いどようもーたー,井戸用モーター,金属,金属,
173,いぬごや（きんぞくせい）,犬小屋（金属製）,金属,金属,
174,いぬごや（ぷらすちっくせい）,犬小屋（プラスチック製）,その他プラスチック,他プラ,
175,いぬごや（もくせい）,犬小屋（木製）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
176,いぬのくさり（きんぞくせい）,犬の鎖（金属製）,金属,金属,
177,いはい,位牌,燃やせるゴミ,可燃,
178,いふく,衣服,衣類・布類,衣類・布類,革製品や綿が入っている物は「可燃」、羽毛製品は各窓口で受け取っています。（ごみ分別ガイドブック２２ページ参照）。
179,いもの（ふらいぱん・なべなど）,鋳物（フライパン・鍋など）,金属,金属,
180,いやーぴーす,イヤーピース,燃やせるゴミ,可燃,
181,いやほん（こーどむもふくむ）,イヤホン（コード無も含む）,金属（エコ）,金属（エコ）,
182,いやほん（わいやれす）,イヤホン（ワイヤレス）,危険,危険,
183,いやほんまいく,イヤホンマイク,金属（エコ）,金属（エコ）,
184,いりょうようこるせっと,医療用コルセット,燃やせるゴミ,可燃,金具が含まれている場合は「金属」。
185,いるいかばー（ぷらすちっくせい）,衣類カバー（プラスチック製）,その他プラスチック,他プラ,
186,いるいかばー（ふしきふせい）,衣類カバー（不敷布製）,燃やせるゴミ,可燃,
187,いるいかんそうき,衣類乾燥機,家電4品目,家電4品目,ごみ分別ガイドブック２５ページ参照。
188,いるいかんそうきだい（もくせい）,衣類乾燥機台（木製）,燃やせるゴミ,可燃,
189,いるいかんそうきだい（きんぞくせい）,衣類乾燥機台（金属製）,金属,金属,
190,いれば,入れ歯,金属,金属,
191,いれば（ぷらすちっくのみ）,入れ歯（プラスチックのみ）,その他プラスチック,他プラ,金具が含まれている場合は「金属」。
192,いればけーす,入れ歯ケース,その他プラスチック,他プラ,
193,いろえんぴつ,色鉛筆,燃やせるゴミ,可燃,
194,いろえんぴつけーす（きんぞくせい）,色鉛筆ケース（金属製）,金属,金属,
195,いろえんぴつけーす（ぷらすちっくせい）,色鉛筆ケース（プラスチック製）,その他プラスチック,他プラ,
196,いろえんぴつけーす（かみせい）,色鉛筆ケース（紙製）,燃やせるゴミ,可燃,
197,しきし,色紙,雑誌・雑紙,雑誌・雑紙,雑誌などに挟む。
198,いんかん（もくせい・ぞうげ）,印鑑（木製・象牙）,燃やせるゴミ,可燃,
199,いんかん（ぷらすちっくせい）,印鑑（プラスチック製）,その他プラスチック,他プラ,
200,いんかんけーす（もくせい）,印鑑ケース（木製）,燃やせるゴミ,可燃,
201,いんかんけーす（ぷらすちっくせい）,印鑑ケース（プラスチック製）,その他プラスチック,他プラ,金具が含まれている場合は「金属」。
202,いんく（いんかん、すたんぷとう）,インク（印鑑、スタンプ等）,燃やせるゴミ,可燃,
203,いんくかーとりっじ（いんくりぼん）,インクカートリッジ（インクリボン）,その他プラスチック,他プラ,市役所や各総合支所に回収ボックスを設置しています。
204,いんくじぇっとし,インクジェット紙,雑誌・雑紙,雑誌・雑紙,
205,いんくびん,インク瓶,燃やせないごみ,不燃,
206,いんくふぃるむ,インクフィルム,燃やせるゴミ,可燃,
207,いんしゅれーたー,インシュレーター,金属,金属,
208,いんすたんとかめら,インスタントカメラ,金属,金属,
209,いんそーる,インソール,燃やせるゴミ,可燃,
210,いんたーほん,インターホン,金属,金属,
211,いんでっくすしーる,インデックスシール,燃やせるゴミ,可燃,
212,いんてりあこもの（もくせい）,インテリア小物（木製）,燃やせるゴミ,可燃,
213,いんてりあこもの（ぷらすちっくせい）,インテリア小物（プラスチック製）,その他プラスチック,他プラ,
214,いんてりあこもの（きんぞくせい）,インテリア小物（金属製）,金属,金属,
215,いんてりあこもの（がらすせい）,インテリア小物（ガラス製）,燃やせないごみ,不燃,
216,いんてりあこもの（とうきせい）,インテリア小物（陶器製）,燃やせないごみ,不燃,
217,いんてりあこもの（せきせい）,インテリア小物（石製）,燃やせないごみ,不燃,
218,いんぱくとどらいばー,インパクトドライバー,金属,金属,電池は取り外して「危険ごみ」。
219,いんばこ（もくせい）,印箱（木製）,燃やせるゴミ,可燃,
220,いんばこ（ぷらすちっくせい）,印箱（プラスチック製）,その他プラスチック,他プラ,金具が含まれている場合は「金属」。
221,いんらいんすけーと,インラインスケート,金属,金属,
222,いんりょうぱっく,飲料パック,飲料用紙パック,飲料用紙パック,切り開いて、ひもで十文字に束ねる内側がアルミ加工の物は「可燃」。
223,うぃーる（すけーとぼーどのたいや）,ウィール（スケートボードのタイヤ）,金属,金属,
224,うぃんどうらじえーたー,ウィンドーラジエーター,金属,金属,
225,ういんどふぁん,ウィンドファン,金属,金属,
226,ういんどぶれーかー,ウインドブレーカー,燃やせるゴミ,可燃,
227,うぇいとべすと,ウェイトベスト,金属,金属,
228,うぇーだー,ウェーダー,その他プラスチック,他プラ,
229,うえき（みき・ね）,植木（幹・根）,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
230,うえきのえだ,植木の枝,燃やせるゴミ,可燃,１ｍ以内にできなければ津市リサイクルセンターへ自己搬入。（ごみ分別ガイドブック７ページ参照）。
231,うえきばち（ぷらすちっくせい）,植木鉢（プラスチック製）,その他プラスチック,他プラ,
232,うえきばち（もくせい）,植木鉢（木製）,燃やせるゴミ,可燃,
233,うえきばち（きんぞくせい）,植木鉢（金属製）,金属,金属,
234,うえきばち（とうじきせい）,植木鉢（陶磁器製）,燃やせないごみ,不燃,
235,うえすとぽーち,ウエストポーチ,燃やせるゴミ,可燃,
236,うぇっとしーと・うぇっとてぃっしゅ,ウェットシート・ウェットティッシュ,燃やせるゴミ,可燃,
237,うぇっとすーつ,ウェットスーツ,燃やせるゴミ,可燃,
238,うぇっとてぃっしゅのようき（ぷらすちっくせい）,ウェットティッシュの容器（プラスチック製）,容器包装プラスチック,容プラ,
239,うぇぶかめら,ウェブカメラ,金属（エコ）,金属（エコ）,
240,うぉーたーくーらー（しみずたくみ）,ウォータークーラー（冷水機）,自己搬入,自己搬入,返却の有無をメーカーに確認する返却する必要がない場合は、フロンガスを抜いた証明書を持って津市リサイクルセンターへ自己搬入。
241,うぉーたーさーばー（ふろんがすふしよう）,ウォーターサーバー（フロンガス不使用）,金属,金属,返却の有無をメーカーに確認する。
242,うぉーたーさーばー（ふろんがすしよう）,ウォーターサーバー（フロンガス使用）,自己搬入,自己搬入,返却の有無をメーカーに確認する返却する必要がない場合は、フロンガスを抜いた証明書を持って津市リサイクルセンターへ自己搬入。
243,うぉーたーじゃぐ（きんぞくせい）,ウォータージャグ（金属製）,金属,金属,
244,うぉーたーじゃぐ（ぷらすちっくせい）,ウォータージャグ（プラスチック製）,その他プラスチック,他プラ,
245,うぉーたーばっぐ,ウォーターバッグ,その他プラスチック,他プラ,
246,うぉーたーべっど,ウォーターベッド,その他プラスチック,他プラ,中に入っている水は抜く。
247,うぉーるぽけっと（ぬのせい・もくせい）,ウォールポケット（布製・木製）,燃やせるゴミ,可燃,
248,うぉーるぽけっと（ぷらすちっくせい）,ウォールポケット（プラスチック製）,その他プラスチック,他プラ,
249,わっしゃーえきのぼとる,ウォッシャー液のボトル,容器包装プラスチック,容プラ,
250,うぉっしゅぼーる,ウォッシュボール,燃やせるゴミ,可燃,
251,うき（つりぐ）,浮き（釣り具）,その他プラスチック,他プラ,
252,うきわ,浮輪,その他プラスチック,他プラ,
253,うす（もくせい）,臼（木製）,自己搬入,自己搬入,津市リサイクルセンターへ自己搬入。(ごみ分別ガイドブック２４ページ参照）。
254,うちわ(たけせい),うちわ(竹製),燃やせるゴミ,可燃,
255,うちわ(ぷらすちっくせい),うちわ(プラスチック製),その他プラスチック,他プラ,
256,うっどかーぺっと,ウッドカーペット,燃やせるゴミ,可燃,折りたたんだり、丸めた際に1m以上の場合は「不燃」。
257,うっどくらふと,ウッドクラフト,燃やせるゴミ,可燃,
258,うっどたいる,ウッドタイル,燃やせるゴミ,可燃,
259,うっどぱねる,ウッドパネル,燃やせるゴミ,可燃,
260,うっどぺれっと,ウッドペレット,燃やせるゴミ,可燃,
261,うでどけい,腕時計,金属（エコ）,金属（エコ）,電池は取り外して「危険ごみ」。
262,うもうふとん,羽毛布団,燃やせるゴミ,可燃,ダウン率が５０％以上の物は、各窓口へ持ち込むことでリサイクルすることができます。（ごみ分別ガイドブック２２ページ参照）。
263,うばぐるま,乳母車,金属,金属,
264,うれたんちっぷ,ウレタンチップ,燃やせるゴミ,可燃,
265,うれたんぼーど,ウレタンボード,燃やせるゴミ,可燃,
266,うれたんまっと,ウレタンマット,燃やせるゴミ,可燃,
267,うろことる（きんぞくせい）,鱗取り（金属製）,金属,金属,
268,うろことる（ぷらすちっくせい）,鱗取り（プラスチック製）,その他プラスチック,他プラ,
269,えあーぶらし,エアーブラシ,金属,金属,
270,えあーべっと,エアーベット,その他プラスチック,他プラ,
271,えあーぼーど,エアーボード,その他プラスチック,他プラ,
272,えあきゃっぷ・えあーくっしょん,エアキャップ・エアークッション,その他プラスチック,他プラ,
273,えあこん,エアコン,家電4品目,家電4品目,ごみ分別ガイドブック２５ページ参照。
274,えあこんかばー,エアコンカバー,燃やせるゴミ,可燃,
275,えあこんだくとかばー,エアコンダクトカバー,その他プラスチック,他プラ,
276,えあしーと,エアシート,容器包装プラスチック,容プラ,
277,えあぞーるかん,エアゾール缶,危険,危険,なるべく中身は使い切る。
278,えあぱっきん・えあくっしょん（きほうかんしょうざい）,エアパッキン・エアクッション（気泡緩衝材）,容器包装プラスチック,容プラ,
279,えあぽんぷ（きんぞくせい）,エアポンプ（金属製）,金属,金属,
280,えあぽんぷ（ぷらすちっくせい）,エアポンプ（プラスチック製）,その他プラスチック,他プラ,
281,えあまっと・えあべっど,エアマット・エアベッド,その他プラスチック,他プラ,
282,えあろぱーつ,エアロパーツ,その他プラスチック,他プラ,自身で交換した物に限る。
283,えあろばいく,エアロバイク,金属,金属,
284,えいぞう・おんきょうきき,映像・音響機器,金属（エコ）,金属（エコ）,
285,えいちでぃーでぃーぷれいやー,HDDプレイヤー,金属（エコ）,金属（エコ）,
286,あらぶえみれーつでぃるはむ（ほんたい）,AED（本体）,金属,金属,家庭で使用するために購入した場合に限る。
287,あらぶえみれーつでぃるはむのばってりー,AEDのバッテリー,危険,危険,
288,あらぶえみれーつでぃるはむのぱっど,AEDのパッド,燃やせるゴミ,可燃,
289,あだるとちるどれんあだぷたー,ACアダプター,金属,金属,
290,えいようざいちゅうにゅうき（ざいたくいりょうはいきぶつ）,栄養剤注入器（在宅医療廃棄物）,燃やせるゴミ,可燃,針はかかりつけの病院へ相談。
291,えきしょうほごがらす,液晶保護ガラス,燃やせないごみ,不燃,
292,えきしょうでぃすぷれい（ぱそこんよう）,液晶ディスプレイ（パソコン用）,エコ,エコ,エコ・ステーションもしくは、各窓口へ持ち込み（ごみ分別ガイドブック２８ページ参照）。
293,えきしょうほごしーと,液晶保護シート,燃やせるゴミ,可燃,
294,えきすぱんだー,エキスパンダー,金属,金属,
295,えきたいせっけんのぼとる（がらすせい）,液体石けんのボトル（ガラス製）,燃やせないごみ,不燃,
296,えきたいせっけんのぼとる（きんぞくせい）,液体石けんのボトル（金属製）,金属,金属,
297,えきたいせっけんのぼとる（ぷらすちっくせい）,液体石けんのボトル（プラスチック製）,容器包装プラスチック,容プラ,中身は取り除く。
298,えきたいせんざい,液体洗剤,容器包装プラスチック,容プラ,中身は取り除く。
299,えきたいひりょうのぼとる,液体肥料のボトル,容器包装プラスチック,容プラ,中身は取り除く。
300,えくささいずようぼーる,エクササイズ用ボール,その他プラスチック,他プラ,
301,えこばっぐ（ぬのせい）,エコバッグ（布製）,燃やせるゴミ,可燃,
302,えこばっぐ（びにーるせい）,エコバッグ（ビニール製）,その他プラスチック,他プラ,
303,えすでぃかーど,SDカード,金属（エコ）,金属（エコ）,
304,えすぷれっそましん,エスプレッソマシン,金属,金属,
305,えだ,枝,燃やせるゴミ,可燃,大きさの規定に従って排出する（ごみ分別ガイドブック７ページ参照）。
306,えだきりはさみ,枝切りばさみ,金属,金属,
307,えっぐすらいさー（ぷらすちっくせい）,エッグスライサー（プラスチック製）,その他プラスチック,他プラ,
308,えっぐすらいさー（きんぞくせい）,エッグスライサー（金属製）,金属,金属,
309,えっせんしゃるおいるのびん,エッセンシャルオイルのびん,燃やせないごみ,不燃,
310,えぬげーじけーす,Nゲージケース,その他プラスチック,他プラ,
311,えのぐのさら（ぷらすちっくせい）,絵の具の皿（プラスチック製）,その他プラスチック,他プラ,
312,えのぐのちゅーぶ（ぷらすちっくせい）,絵の具のチューブ（プラスチック製）,容器包装プラスチック,容プラ,中身は取り除く。
313,えのぐのちゅーぶ（きんぞくせい）,絵の具のチューブ（金属製）,金属,金属,中身が残っている場合は、雑紙・雑布等にしみ込ませて「可燃」。
314,えのぐそう（かみせい）,絵の具箱（紙製）,燃やせるゴミ,可燃,
315,えばーふらわー（はなぶぶん）,エバーフラワー（花部分）,燃やせるゴミ,可燃,
